,learning_rate,n_estimators,total_accuracy,yes_accuracy,no_accuracy,prob_threshold,tree_depth
0,0.05,1.0,0.6104886399004046,0.7491441020852786,0.4718331777155307,0.4,1.0
1,0.05,1.0,0.6104886399004046,0.7491441020852786,0.4718331777155307,0.41000000000000003,1.0
2,0.05,1.0,0.6104886399004046,0.7491441020852786,0.4718331777155307,0.42000000000000004,1.0
3,0.05,1.0,0.6104886399004046,0.7491441020852786,0.4718331777155307,0.43000000000000005,1.0
4,0.05,1.0,0.6104886399004046,0.7491441020852786,0.4718331777155307,0.44000000000000006,1.0
5,0.05,1.0,0.6104886399004046,0.7491441020852786,0.4718331777155307,0.45000000000000007,1.0
6,0.05,1.0,0.6104886399004046,0.7491441020852786,0.4718331777155307,0.4600000000000001,1.0
7,0.05,1.0,0.6104886399004046,0.7491441020852786,0.4718331777155307,0.4700000000000001,1.0
8,0.05,1.0,0.6104886399004046,0.7491441020852786,0.4718331777155307,0.4800000000000001,1.0
9,0.05,1.0,0.6104886399004046,0.7491441020852786,0.4718331777155307,0.4900000000000001,1.0
10,0.05,1.0,0.6104886399004046,0.7491441020852786,0.4718331777155307,0.5000000000000001,1.0
11,0.05,1.0,0.6104886399004046,0.7491441020852786,0.4718331777155307,0.5100000000000001,1.0
12,0.05,1.0,0.6104886399004046,0.7491441020852786,0.4718331777155307,0.5200000000000001,1.0
13,0.05,1.0,0.6104886399004046,0.7491441020852786,0.4718331777155307,0.5300000000000001,1.0
14,0.05,1.0,0.6104886399004046,0.7491441020852786,0.4718331777155307,0.5400000000000001,1.0
15,0.05,1.0,0.6104886399004046,0.7491441020852786,0.4718331777155307,0.5500000000000002,1.0
16,0.05,1.0,0.6104886399004046,0.7491441020852786,0.4718331777155307,0.5600000000000002,1.0
17,0.05,1.0,0.6104886399004046,0.7491441020852786,0.4718331777155307,0.5700000000000002,1.0
18,0.05,1.0,0.6104886399004046,0.7491441020852786,0.4718331777155307,0.5800000000000002,1.0
19,0.05,1.0,0.6104886399004046,0.7491441020852786,0.4718331777155307,0.5900000000000002,1.0
20,0.1,1.0,0.6104886399004046,0.7491441020852786,0.4718331777155307,0.4,1.0
21,0.1,1.0,0.6104886399004046,0.7491441020852786,0.4718331777155307,0.41000000000000003,1.0
22,0.1,1.0,0.6104886399004046,0.7491441020852786,0.4718331777155307,0.42000000000000004,1.0
23,0.1,1.0,0.6104886399004046,0.7491441020852786,0.4718331777155307,0.43000000000000005,1.0
24,0.1,1.0,0.6104886399004046,0.7491441020852786,0.4718331777155307,0.44000000000000006,1.0
25,0.1,1.0,0.6104886399004046,0.7491441020852786,0.4718331777155307,0.45000000000000007,1.0
26,0.1,1.0,0.6104886399004046,0.7491441020852786,0.4718331777155307,0.4600000000000001,1.0
27,0.1,1.0,0.6104886399004046,0.7491441020852786,0.4718331777155307,0.4700000000000001,1.0
28,0.1,1.0,0.6104886399004046,0.7491441020852786,0.4718331777155307,0.4800000000000001,1.0
29,0.1,1.0,0.6104886399004046,0.7491441020852786,0.4718331777155307,0.4900000000000001,1.0
30,0.1,1.0,0.6104886399004046,0.7491441020852786,0.4718331777155307,0.5000000000000001,1.0
31,0.1,1.0,0.6104886399004046,0.7491441020852786,0.4718331777155307,0.5100000000000001,1.0
32,0.1,1.0,0.6104886399004046,0.7491441020852786,0.4718331777155307,0.5200000000000001,1.0
33,0.1,1.0,0.6104886399004046,0.7491441020852786,0.4718331777155307,0.5300000000000001,1.0
34,0.1,1.0,0.6104886399004046,0.7491441020852786,0.4718331777155307,0.5400000000000001,1.0
35,0.1,1.0,0.6104886399004046,0.7491441020852786,0.4718331777155307,0.5500000000000002,1.0
36,0.1,1.0,0.6104886399004046,0.7491441020852786,0.4718331777155307,0.5600000000000002,1.0
37,0.1,1.0,0.6104886399004046,0.7491441020852786,0.4718331777155307,0.5700000000000002,1.0
38,0.1,1.0,0.6104886399004046,0.7491441020852786,0.4718331777155307,0.5800000000000002,1.0
39,0.1,1.0,0.6104886399004046,0.7491441020852786,0.4718331777155307,0.5900000000000002,1.0
40,0.2,1.0,0.6104886399004046,0.7491441020852786,0.4718331777155307,0.4,1.0
41,0.2,1.0,0.6104886399004046,0.7491441020852786,0.4718331777155307,0.41000000000000003,1.0
42,0.2,1.0,0.6104886399004046,0.7491441020852786,0.4718331777155307,0.42000000000000004,1.0
43,0.2,1.0,0.6104886399004046,0.7491441020852786,0.4718331777155307,0.43000000000000005,1.0
44,0.2,1.0,0.6104886399004046,0.7491441020852786,0.4718331777155307,0.44000000000000006,1.0
45,0.2,1.0,0.6104886399004046,0.7491441020852786,0.4718331777155307,0.45000000000000007,1.0
46,0.2,1.0,0.6104886399004046,0.7491441020852786,0.4718331777155307,0.4600000000000001,1.0
47,0.2,1.0,0.6104886399004046,0.7491441020852786,0.4718331777155307,0.4700000000000001,1.0
48,0.2,1.0,0.6104886399004046,0.7491441020852786,0.4718331777155307,0.4800000000000001,1.0
49,0.2,1.0,0.6104886399004046,0.7491441020852786,0.4718331777155307,0.4900000000000001,1.0
50,0.2,1.0,0.6104886399004046,0.7491441020852786,0.4718331777155307,0.5000000000000001,1.0
51,0.2,1.0,0.6104886399004046,0.7491441020852786,0.4718331777155307,0.5100000000000001,1.0
52,0.2,1.0,0.6104886399004046,0.7491441020852786,0.4718331777155307,0.5200000000000001,1.0
53,0.2,1.0,0.6104886399004046,0.7491441020852786,0.4718331777155307,0.5300000000000001,1.0
54,0.2,1.0,0.6104886399004046,0.7491441020852786,0.4718331777155307,0.5400000000000001,1.0
