,learning_rate,n_estimators,total_accuracy,yes_accuracy,no_accuracy,prob_threshold,tree_depth
178,0.2,20.0,0.9602423852423853,0.8188670879059972,0.9941620787786909,0.47000000000000003,1.0
179,0.2,20.0,0.9607786357786358,0.8111074160292651,0.9966887417218543,0.48000000000000004,1.0
180,0.2,20.0,0.9605748605748605,0.8093337767431549,0.9968616186600707,0.49000000000000005,1.0
181,0.2,20.0,0.9605748605748605,0.8087240882385545,0.9970078991462539,0.5,1.0
182,0.2,20.0,0.9605855855855856,0.8075047112293537,0.9973137583446369,0.51,1.0
183,0.2,20.0,0.9603603603603603,0.8040682851125153,0.9978589856113195,0.52,1.0
184,0.2,20.0,0.9601887601887602,0.802405498281787,0.9980451607755525,0.53,1.0
185,0.2,20.0,0.9598777348777349,0.8002438754018402,0.9981781430357191,0.54,1.0
186,0.2,20.0,0.9594487344487345,0.7979159738388205,0.9982047394877523,0.55,1.0
187,0.5,20.0,0.9581295581295581,0.8409267265269925,0.9862496342987845,0.45,1.0
188,0.5,20.0,0.9591591591591592,0.83665890699479,0.9885502273996649,0.46,1.0
189,0.5,20.0,0.9606070356070356,0.832668218601042,0.9913029601851113,0.47000000000000003,1.0
190,0.5,20.0,0.9608751608751609,0.8265159073273473,0.9931115189233756,0.48000000000000004,1.0
191,0.5,20.0,0.9610574860574861,0.824797694268928,0.9937498337721747,0.49000000000000005,1.0
192,0.5,20.0,0.9607893607893608,0.8168717437091232,0.9953190244421394,0.5,1.0
193,0.5,20.0,0.9605963105963106,0.811162842256956,0.9964493736535546,0.51,1.0
194,0.5,20.0,0.9599635349635349,0.8026272031925508,0.9977127051251363,0.52,1.0
195,0.5,20.0,0.9592664092664093,0.7971954328788383,0.9981515465836858,0.53,1.0
196,0.5,20.0,0.9585263835263835,0.792539629752799,0.9983510199739355,0.54,1.0
197,0.5,20.0,0.9568640068640069,0.7835605808668662,0.9984441075560521,0.55,1.0
